CalendarId,Date,Country,Category,Event,Reference,ReferenceDate,Source,SourceURL,Actual,Previous,Forecast,TEForecast,URL,DateSpan,Importance,LastUpdate,Revised,Currency,Unit,Ticker,Symbol
179824,2019-03-06T13:30:00,United States,Imports,Imports,Dec,2018-12-31T00:00:00,U.S. Census Bureau,https://www.census.gov,$264.9B,$259.4B,,$263B,/united-states/imports,0,1,2019-03-06T13:31:00,$259.2B,$,B,TBIMTOT,TBIMTOT
178278,2019-02-06T13:30:00,United States,Imports,Imports,Nov,2018-11-30T00:00:00,U.S. Census Bureau,https://www.census.gov,$259.2B,$266.9B,,$ 264B,/united-states/imports,0,1,2019-02-06T13:32:00,$266.53B,$,B,TBIMTOT,TBIMTOT
169878,2018-12-06T13:30:00,United States,Imports,Imports,Oct,2018-10-31T00:00:00,U.S. Census Bureau,https://www.census.gov,$266.53B,$265.91B,,$ 267.5B,/united-states/imports,0,1,2018-12-06T13:32:00,$266.58B,$,B,TBIMTOT,TBIMTOT
167981,2018-11-02T12:30:00,United States,Imports,Imports,Sep,2018-09-30T00:00:00,U.S. Census Bureau,https://www.census.gov,$266.58B,$262.75B,,$ 263.7B,/united-states/imports,0,1,2018-11-02T12:31:00,$262.67B,$,B,TBIMTOT,TBIMTOT
166300,2018-10-05T12:30:00,United States,Imports,Imports,Aug,2018-08-31T00:00:00,U.S. Census Bureau,https://www.census.gov,$262.67B,$261.1B,,$ 261.8B,/united-states/imports,0,1,2018-10-05T12:31:00,$261.2B,$,B,TBIMTOT,TBIMTOT
164528,2018-09-05T12:30:00,United States,Imports,Imports,Jul,2018-07-31T00:00:00,U.S. Census Bureau,https://www.census.gov,$261.2B,$258.93B,,$ 259.8B,/united-states/imports,0,1,2018-09-05T12:39:00,$260.16B,$,B,TBIMTOT,TBIMTOT
162676,2018-08-03T12:30:00,United States,Imports,Imports,Jun,2018-06-30T00:00:00,U.S. Census Bureau,https://www.census.gov,$260.16B,$258.53B,,$ 257.8B,/united-states/imports,0,1,2018-08-03T12:31:00,$258.38B,$,B,TBIMTOT,TBIMTOT
161074,2018-07-06T12:30:00,United States,Imports,Imports,May,2018-05-31T00:00:00,U.S. Census Bureau,https://www.census.gov,$258.38B,$257.32B,,$ 258.4B,/united-states/imports,0,1,2018-07-06T12:31:00,$257.44B,$,B,TBIMTOT,TBIMTOT
158993,2018-06-06T12:30:00,United States,Imports,Imports,Apr,2018-04-30T00:00:00,U.S. Census Bureau,https://www.census.gov,$257.44B,$257.87B,,$ 256B,/united-states/imports,0,1,2018-06-06T12:31:00,$257.48B,$,B,TBIMTOT,TBIMTOT
157244,2018-05-03T12:30:00,United States,Imports,Imports,Mar,2018-03-31T00:00:00,U.S. Census Bureau,https://www.census.gov,$257.48B,$262.09B,,$ 260B,/united-states/imports,0,1,2018-05-03T12:31:00,$262.04B,$,B,TBIMTOT,TBIMTOT
155121,2018-04-05T12:30:00,United States,Imports,Imports,Feb,2018-02-28T00:00:00,U.S. Census Bureau,https://www.census.gov,$262.04B,$257.61B,,$ 261.1B,/united-states/imports,0,1,2018-04-05T12:31:00,$257.51B,$,B,TBIMTOT,TBIMTOT
