Country|Date|Agency|Rating|Outlook
Mexico|2/12/2013|DBRS|BBB|Positive
Mexico|3/12/2013|S&P|BBB|Positive
Mexico|5/8/2013|Fitch|BBB+|Stable
Mexico|12/19/2013|S&P|BBB+|Stable
Mexico|2/5/2014|Moody's|A3|Stable
Mexico|3/31/2014|DBRS|BBB (high)|Stable
Mexico|3/31/2016|Moody's|A3|Negative
Mexico|8/23/2016|S&P|BBB+|Negative
Mexico|7/19/2017|S&P|BBB+|Stable
Mexico|8/3/2017|Fitch|BBB+|Stable
Mexico|4/11/2018|Moody's|A3|Stable
Mexico|10/31/2018|Fitch|BBB+|Negative
Mexico|3/1/2019|S&P|BBB+|Negative
Mexico|6/5/2019|Moody's|A3|Negative
Mexico|6/5/2019|Fitch|BBB|Stable
Mexico|12/19/2019|DBRS|BBB (high)|Negative
Mexico|3/26/2020|S&P|BBB|Negative
Mexico|4/16/2020|Fitch|BBB-|Stable
Mexico|4/17/2020|Moody's|Baa1|Negative
Mexico|5/6/2020|DBRS|BBB|Negative
Mexico|5/6/2021|DBRS|BBB|Stable
