Symbol|Date|Open|High|Low|Close
AAPL:US|2022-09-06T19:21:00|154.73|154.84|154.63|154.67999
AAPL:US|2022-09-06T19:22:00|154.67|154.67999|154.45|154.5
AAPL:US|2022-09-06T19:23:00|154.48|154.5|154.41|154.48
AAPL:US|2022-09-06T19:24:00|154.49001|154.57001|154.42999|154.45
AAPL:US|2022-09-06T19:25:00|154.44|154.78|154.44|154.67
AAPL:US|2022-09-06T19:26:00|154.64999|154.75999|154.59|154.64
AAPL:US|2022-09-06T19:27:00|154.64999|154.75|154.63|154.72
AAPL:US|2022-09-06T19:28:00|154.71001|154.74001|154.60001|154.64
AAPL:US|2022-09-06T19:29:00|154.63|154.7|154.53|154.67999
