Date|Symbol|Type|Name|Actual|Forecast|FiscalTag|FiscalReference|CalendarReference|Country|Currency|Importance|Session|LastUpdate
2022-09-15T00:00:00|PCYG:US|Earnings|Park City||0.06|||2022/6|United States|USD|1|21|2022-09-07T07:12:00
2022-09-15T00:00:00|ADBE:US|Earnings|Adobe Systems||3.34|||2022/6|United States|USD|3|21|2022-09-07T07:12:00
2022-09-14T00:00:00|AXR:US|Earnings|Amrep|||||2022/6|United States|USD|1|13|2022-09-07T07:11:00
2022-09-13T00:00:00|FCEL:US|Earnings|Fuelcell Energy||-0.06|||2022/6|United States|USD|1|21|2022-09-07T07:11:00
2022-09-13T00:00:00|UNFI:US|Earnings|United Natural Foods||1.26|||2022/6|United States|USD|1|13|2022-09-07T07:11:00
2022-09-12T00:00:00|SEAC:US|Earnings|SeaChange International||-0.04|||2022/6|United States|USD|1|21|2022-09-07T07:11:00
2022-09-12T00:00:00|MTRX:US|Earnings|Matrix Service||-0.30|||2022/6|United States|USD|1|21|2022-09-07T07:11:00
2022-09-12T00:00:00|ORCL:US|Earnings|Oracle||1.08|||2022/6|United States|USD|3|21|2022-09-07T07:11:00
2022-09-12T00:00:00|MIND:US|Earnings|Mitcham Industries||-0.20|||2022/6|United States|USD|1|21|2022-09-07T07:11:00
2022-09-12T00:00:00|AGTC:US|Earnings|Applied Genetic Technologies||-0.34|||2022/6|United States|USD|1|21|2022-09-07T07:11:00
2022-09-12T00:00:00|OPTT:US|Earnings|Ocean Power Technologies|||||2022/6|United States|USD|1|21|2022-09-07T07:11:00
2022-09-09T00:00:00|KR:US|Earnings|Kroger||0.80|||2022/6|United States|USD|3|13|2022-09-07T07:13:00
2022-09-09T00:00:00|HURC:US|Earnings|Hurco Companies|||||2022/6|United States|USD|1|13|2022-09-02T07:12:00
2022-09-09T00:00:00|ABM:US|Earnings|ABM Industries||0.90|||2022/6|United States|USD|1|21|2022-09-07T07:13:00
2022-09-08T00:00:00|RH:US|Earnings|Restoration Hardware||6.63|||2022/6|United States|USD|1|21|2022-09-07T07:12:00
2022-09-08T00:00:00|VNCE:US|Earnings|Vince||0.19|||2022/6|United States|USD|1|21|2022-09-07T07:13:00
2022-09-08T00:00:00|LMNR:US|Earnings|Limoneira||0.23|||2022/6|United States|USD|1|21|2022-09-07T07:13:00
2022-09-08T00:00:00|ZUMZ:US|Earnings|Zumiez||0.47|||2022/6|United States|USD|1|13|2022-09-07T07:13:00
2022-09-08T00:00:00|UBP:US|Earnings|Urstadt Biddle Properties Ubp||0.24|||2022/6|United States|USD|1|13|2022-09-07T07:13:00
2022-09-08T00:00:00|UBA:US|Earnings|Urstadt Biddle Properties||0.24|||2022/6|United States|USD|1|13|2022-09-07T07:12:00
2022-09-08T00:00:00|FIZZ:US|Earnings|National Beverage||0.52|||2022/6|United States|USD|1|13|2022-09-07T07:12:00
2022-09-07T00:00:00|AVAV:US|Earnings|AeroVironment||0.12|||2022/6|United States|USD|1|21|2022-09-07T07:12:00
2022-09-07T00:00:00|VRNT:US|Earnings|Verint Systems||0.53|||2022/6|United States|USD|1|21|2022-09-07T07:12:00
2022-09-07T00:00:00|CPRT:US|Earnings|Copart||1.10|||2022/6|United States|USD|2|21|2022-09-07T07:12:00
2022-09-07T00:00:00|GIII:US|Earnings|G-III Apparel||0.45|||2022/6|United States|USD|1|13|2022-09-07T07:12:00
2022-09-07T00:00:00|KFY:US|Earnings|Korn Ferry International||1.39|||2022/6|United States|USD|1|13|2022-09-07T07:12:00
2022-09-07T00:00:00|DOCU:US|Earnings|DocuSign Inc||0.43|||2022/6|United States|USD|2|21|2022-09-07T07:12:00
2022-09-07T00:00:00|AEO:US|Earnings|American Eagle Outfitters||0.14|||2022/6|United States|USD|1|13|2022-09-07T07:12:00
2022-09-07T00:00:00|CASY:US|Earnings|Casey's General Stores||3.43|||2022/6|United States|USD|1|21|2022-09-07T07:12:00
2022-09-07T00:00:00|GME:US|Earnings|GameStop||-0.41|||2022/6|United States|USD|1|21|2022-09-07T07:12:00
2022-09-06T00:00:00|AGX:US|Earnings|Argan||0.22|||2022/6|United States|USD|1|21|2022-09-06T07:11:00
2022-09-06T00:00:00|GWRE:US|Earnings|Guidewire Software|0.03|-0.01|||2022/6|United States|USD|1|21|2022-09-07T07:12:00
